solute_inchi_std,molefrac,molefrac2,solute_smiles_canonical,solvent1_smiles_canonical,solvent2_smiles_canonical,Temperature [K],logS,Source,solvent1_density,solvent2_density,solvent_avg_density,solvent_density,solvent_smiles_canonical,MP_pred,MP_std,logS_calc,gamma
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.707,0.293,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.136675539,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.8884656,12.8884656,CC(C)=O,440.01352,11.598891,0.14660264554545652,0.972928524017334
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.692973929,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.51869629,13.51869629,CC(C)=O,440.01352,11.598891,-0.24280410592882015,1.0527797937393188
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.574161423,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.42330112,13.42330112,CC(C)=O,440.01352,11.598891,-0.16980162704075638,1.0331416130065918
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.466012468,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.32695342,13.32695342,CC(C)=O,440.01352,11.598891,-0.0988987519951413,1.0134189128875732
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.36138891,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.22961533,13.22961533,CC(C)=O,440.01352,11.598891,-0.02838049186413017,0.9899579882621765
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.260725612,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.13124645,13.13124645,CC(C)=O,440.01352,11.598891,0.04164604558506691,0.9634959101676941
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.163762101,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,13.03180369,13.03180369,CC(C)=O,440.01352,11.598891,0.11022449065605727,0.9365648031234741
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.8053,0.1946999999999999,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,-0.052479065,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.93124093,12.93124093,CC(C)=O,440.01352,11.598891,0.1753950105587844,0.9135398864746094
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,293.15,-0.55749786,10.1016/j.molliq.2020.112619,13.62629871,13.09112089,13.57247767,13.57247767,CC(C)=O,440.01352,11.598891,-0.20869582999224298,0.9771327972412109
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,298.15,-0.453989271,10.1016/j.molliq.2020.112619,13.52721472,13.00993867,13.47524439,13.47524439,CC(C)=O,440.01352,11.598891,-0.13710306318432003,0.9619192481040955
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,303.15,-0.354073777,10.1016/j.molliq.2020.112619,13.42718462,12.92780494,13.37706145,13.37706145,CC(C)=O,440.01352,11.598891,-0.06587442996763924,0.942745566368103
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,308.15,-0.255798529,10.1016/j.molliq.2020.112619,13.32617061,12.84468178,13.27789101,13.27789101,CC(C)=O,440.01352,11.598891,0.004299349359075413,0.9215497970581055
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,313.15,-0.159257453,10.1016/j.molliq.2020.112619,13.22413242,12.76052875,13.17769273,13.17769273,CC(C)=O,440.01352,11.598891,0.07183367239045373,0.9019775390625
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,318.15,-0.064362078,10.1016/j.molliq.2020.112619,13.12102703,12.67530267,13.07642355,13.07642355,CC(C)=O,440.01352,11.598891,0.13907324360024662,0.8793739080429077
"InChI=1S/C11H10N2O3/c1-7-11(8(2)14)13(16)10-6-4-3-5-9(10)12(7)15/h3-6H,1-2H3",0.903,0.097,CC(=O)c1c(C)n([O-])c2ccccc2[n+]1=O,CC(C)=O,CC(C)O,323.15,0.013879082,10.1016/j.molliq.2020.112619,13.01680848,12.58895732,12.97403744,12.97403744,CC(C)=O,440.01352,11.598891,0.19876943498756539,0.8685364127159119
